timestamp,ip,user,attempts,status,hour,minute,ip_encoded,user_encoded,attempts_per_minute,time_diff,is_attack
2025-04-14 15:15:17,127.0.0.1,chaima,1,failed,15,15,0,1,50,0.0,0
2025-04-14 15:15:22,127.0.0.1,chaima,2,failed,15,15,0,1,50,5.0,0
2025-04-14 15:15:27,127.0.0.1,chaima,3,failed,15,15,0,1,50,5.0,0
2025-04-14 15:15:31,127.0.0.1,chaima,4,failed,15,15,0,1,50,4.0,1
2025-04-14 15:15:35,127.0.0.1,chaima,5,failed,15,15,0,1,50,4.0,1
2025-04-14 15:15:39,127.0.0.1,chaima,6,failed,15,15,0,1,50,4.0,1
2025-04-14 15:15:44,127.0.0.1,chaima,7,failed,15,15,0,1,50,5.0,0
2025-04-14 15:15:49,127.0.0.1,chaima,8,failed,15,15,0,1,50,5.0,0
2025-04-14 15:15:54,127.0.0.1,chaima,9,failed,15,15,0,1,50,5.0,0
2025-04-14 15:15:59,127.0.0.1,chaima,10,failed,15,15,0,1,50,5.0,0
2025-04-14 15:16:05,127.0.0.1,chaima,11,failed,15,16,0,1,50,6.0,0
2025-04-14 15:16:09,127.0.0.1,chaima,12,failed,15,16,0,1,50,4.0,1
2025-04-14 15:16:15,127.0.0.1,chaima,13,failed,15,16,0,1,50,6.0,0
2025-04-14 15:16:23,127.0.0.1,chaima,14,failed,15,16,0,1,50,8.0,0
2025-04-14 15:16:27,127.0.0.1,chaima,15,failed,15,16,0,1,50,4.0,1
2025-04-14 15:16:32,127.0.0.1,chaima,16,failed,15,16,0,1,50,5.0,0
2025-04-14 15:16:37,127.0.0.1,chaima,17,failed,15,16,0,1,50,5.0,0
2025-04-14 15:16:41,127.0.0.1,chaima,18,failed,15,16,0,1,50,4.0,1
2025-04-14 15:16:47,127.0.0.1,chaima,19,failed,15,16,0,1,50,6.0,0
2025-04-14 15:16:52,127.0.0.1,chaima,20,failed,15,16,0,1,50,5.0,0
2025-04-14 15:16:55,127.0.0.1,chaima,21,failed,15,16,0,1,50,3.0,1
2025-04-14 15:17:00,127.0.0.1,chaima,22,failed,15,17,0,1,50,5.0,0
